"","tweet","created","number"
"1","negative",2017-04-14,20
"2","negative",2017-04-15,11
"3","negative",2017-04-16,2
"4","negative",2017-04-17,16
"5","negative",2017-04-18,26
"6","negative",2017-04-19,13
"7","negative",2017-04-20,16
"8","negative",2017-04-21,19
"9","negative",2017-04-22,5
"10","negative",2017-04-23,8
"11","neutral",2017-04-14,49
"12","neutral",2017-04-15,20
"13","neutral",2017-04-16,12
"14","neutral",2017-04-17,38
"15","neutral",2017-04-18,59
"16","neutral",2017-04-19,57
"17","neutral",2017-04-20,76
"18","neutral",2017-04-21,78
"19","neutral",2017-04-22,48
"20","neutral",2017-04-23,26
"21","positive",2017-04-14,6
"22","positive",2017-04-15,3
"23","positive",2017-04-16,1
"24","positive",2017-04-17,4
"25","positive",2017-04-18,7
"26","positive",2017-04-19,3
"27","positive",2017-04-20,9
"28","positive",2017-04-21,3
"29","positive",2017-04-22,3
"30","positive",2017-04-23,2
