created,favoriteCount,favorited,id,isRetweet,latitude,longitude,replyToSID,replyToSN,replyToUID,retweetCount,retweeted,screenName,statusSource,text,truncated,Region
4/23/2017,0,FALSE,8.56283E+17,FALSE,NA,NA,NA,NA,NA,0,FALSE,PTSantilli,"<a href=""http://gmnreport.com"" rel=""nofollow"">GMN Report</a>",Renewed Zika outbreak feared on Texas border https://t.co/oawWqUfMiS #fox-news,FALSE,Indianapolis
4/22/2017,0,FALSE,8.55828E+17,FALSE,NA,NA,NA,NA,NA,0,FALSE,DanBeardCouncil,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",Here are the DEETs on DEET. https://t.co/jAoOCyRJ8u,FALSE,Indianapolis
4/22/2017,0,FALSE,8.55793E+17,FALSE,NA,NA,NA,NA,NA,0,FALSE,Samiam01x,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Zika Virus  4 Things Mainstream Media Isn't Telling You  https://t.co/CAp5kUogc0 

#libertarian #marxism #right",FALSE,Indianapolis
4/22/2017,0,FALSE,8.55685E+17,TRUE,NA,NA,NA,NA,NA,554,FALSE,wUwLQogPImG1Chv,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @BernieSanders: Trump Should Avoid a Bad Zika Deal https://t.co/jzhp4093z3,FALSE,Indianapolis
4/21/2017,0,FALSE,8.55607E+17,TRUE,NA,NA,NA,NA,NA,11,FALSE,SiegelRedman,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @LifeAtPurdue: Purdue scientists: 1st to map Zika virus &amp; make strides toward vaccine. #PurdueDayofGiving funds innovation. https://t.co…,FALSE,Indianapolis
4/21/2017,2,FALSE,8.55591E+17,FALSE,NA,NA,8.5559E+17,Trxxwild33,2149181204,0,FALSE,JuliannDunlap,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@Trxxwild33 @justusabbott Nahhh imma take my B1 vitamin and not get Zika,FALSE,Indianapolis
4/21/2017,0,FALSE,8.55586E+17,FALSE,NA,NA,NA,NA,NA,0,FALSE,HamCoHealth,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",Some folks are on #SpringBreak this week. Traveling? Be sure to avoid #zika and #westnile! https://t.co/rd1nTaaoVP,FALSE,Indianapolis
4/21/2017,0,FALSE,8.55538E+17,TRUE,NA,NA,NA,NA,NA,4,FALSE,Zika_Miami,"<a href=""https://script.google.com/macros/s/AKfycbx4vGUVr8-ffs5hEehcDk9bs6qgNF12LQGYA-DNXR98KM8VKVBF/exec"" rel=""nofollow""> Zika_Miami_News</a>",RT @chrishendel: High level of heart defects found in Zika-affected babies https://t.co/fMgSxqK9Q4 via @CIDRAP #ZikaVirus #Zika,FALSE,Indianapolis
4/21/2017,2,FALSE,8.55536E+17,FALSE,NA,NA,NA,NA,NA,4,FALSE,chrishendel,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",High level of heart defects found in Zika-affected babies https://t.co/fMgSxqK9Q4 via @CIDRAP #ZikaVirus #Zika,FALSE,Indianapolis
4/21/2017,0,FALSE,8.55508E+17,TRUE,NA,NA,NA,NA,NA,1,FALSE,Zika_Miami,"<a href=""https://script.google.com/macros/s/AKfycbx4vGUVr8-ffs5hEehcDk9bs6qgNF12LQGYA-DNXR98KM8VKVBF/exec"" rel=""nofollow""> Zika_Miami_News</a>","RT @lasallej: Last year, 44 states had reported cases of pregnant women with #Zika. Learn... https://t.co/bYUKFmPqCD by #CoralieSeright via…",FALSE,Indianapolis
