"","tweet","created","number"
"1","negative",2017-04-14,25
"2","negative",2017-04-15,13
"3","negative",2017-04-16,15
"4","negative",2017-04-17,22
"5","negative",2017-04-18,38
"6","negative",2017-04-19,33
"7","negative",2017-04-20,16
"8","negative",2017-04-21,18
"9","negative",2017-04-22,10
"10","negative",2017-04-23,15
"11","neutral",2017-04-14,87
"12","neutral",2017-04-15,23
"13","neutral",2017-04-16,24
"14","neutral",2017-04-17,34
"15","neutral",2017-04-18,75
"16","neutral",2017-04-19,57
"17","neutral",2017-04-20,60
"18","neutral",2017-04-21,47
"19","neutral",2017-04-22,29
"20","neutral",2017-04-23,35
"21","positive",2017-04-14,9
"22","positive",2017-04-15,3
"23","positive",2017-04-16,5
"24","positive",2017-04-17,2
"25","positive",2017-04-18,7
"26","positive",2017-04-19,7
"27","positive",2017-04-20,5
"28","positive",2017-04-21,5
"29","positive",2017-04-22,8
"30","positive",2017-04-23,7
