"","tweet","created","number"
"1","negative",2017-04-14,3
"2","negative",2017-04-15,1
"3","negative",2017-04-16,1
"4","negative",2017-04-17,7
"5","negative",2017-04-18,10
"6","negative",2017-04-19,5
"7","negative",2017-04-20,6
"8","negative",2017-04-21,6
"9","negative",2017-04-22,6
"10","negative",2017-04-23,2
"11","neutral",2017-04-14,9
"12","neutral",2017-04-15,7
"13","neutral",2017-04-16,2
"14","neutral",2017-04-17,9
"15","neutral",2017-04-18,32
"16","neutral",2017-04-19,23
"17","neutral",2017-04-20,8
"18","neutral",2017-04-21,11
"19","neutral",2017-04-22,6
"20","neutral",2017-04-23,8
"21","positive",2017-04-14,1
"22","positive",2017-04-15,1
"23","positive",2017-04-17,1
"24","positive",2017-04-18,1
"25","positive",2017-04-20,2
"26","positive",2017-04-21,2
