"","tweet","created","number"
"1","negative",2017-04-14,1
"2","negative",2017-04-15,2
"3","negative",2017-04-16,4
"4","negative",2017-04-17,8
"5","negative",2017-04-18,8
"6","negative",2017-04-19,5
"7","negative",2017-04-20,3
"8","negative",2017-04-21,7
"9","negative",2017-04-22,9
"10","negative",2017-04-23,7
"11","neutral",2017-04-14,10
"12","neutral",2017-04-15,6
"13","neutral",2017-04-16,7
"14","neutral",2017-04-17,6
"15","neutral",2017-04-18,14
"16","neutral",2017-04-19,15
"17","neutral",2017-04-20,6
"18","neutral",2017-04-21,9
"19","neutral",2017-04-22,5
"20","neutral",2017-04-23,6
"21","positive",2017-04-14,1
"22","positive",2017-04-15,2
"23","positive",2017-04-16,2
"24","positive",2017-04-17,2
"25","positive",2017-04-18,1
"26","positive",2017-04-19,4
"27","positive",2017-04-20,1
"28","positive",2017-04-21,6
"29","positive",2017-04-22,3
"30","positive",2017-04-23,1
