"","score","text"
"1",-1,"MORE ZIKA WOES? Experts warn of outbreak near Texas border town https://t.co/o8O78odALs"
"2",-1,"MORE ZIKA WOES? Experts warn of outbreak near Texas border town - https://t.co/EbtUVVh96b"
"3",0,"RT @fox32news: Renewed Zika outbreak feared on Texas border https://t.co/9hqsjc9A6y https://t.co/zORaR7wc1K"
"4",0,"Renewed Zika outbreak feared on Texas border https://t.co/9hqsjc9A6y https://t.co/zORaR7wc1K"
"5",0,"Renewed #Zika outbreak feared on #Texas border | Fox News https://t.co/hCX7ipnmym"
"6",-1,"MORE ZIKA WOES? Experts warn of outbreak near Texas border town"
"7",1,"Renewed Zika outbreak feared on Texas border - https://t.co/4SHtzJ6Py6 #news #politics #clinton #trump #follow"
"8",-2,"The Zika Fraud Is Just Another Pharma Scare https://t.co/jetUoXtoyY via @mercola"
"9",-1,"RT @mercola: Is the #Zika virus as serious an #epidemic as the government is leading us to believe? https://t.co/jxYyN04Vx4"
"10",0,"RT @Lawsonbulk: 'It’s going to hit the poorest people': Zika outbreak feared on the Texas border https://t.co/UXwBA5nskz"
"11",0,"'It’s going to hit the poorest people': Zika outbreak feared on the Texas border https://t.co/UXwBA5nskz"
"12",-1,"RT @ProductJT: Puerto Rico 'is hiding the true scale of #Zika amid tourism fears' https://t.co/iiltl6Xhko via @MailOnline"
"13",-1,"Is the #Zika virus as serious an #epidemic as the government is leading us to believe? https://t.co/jxYyN04Vx4"
"14",0,"Arrival of #Zika spurs action 

https://t.co/UHPwE4tkwl via @BrownsvilleNews

#publichealth #texas @CityofMcAllen… https://t.co/SBwd4pQVmH"
"15",-3,"https://t.co/GdkaPJroGl

This #video is crazy - #LASER ZAPS #mosquitoes in slow motion - via @NatGeo 

#fightTheBite #Zika"
"16",0,"Got 4 mosquito bites....Zika is very plausible . Will keep updated the following days <ed><U+00A0><U+00BD><ed><U+00B9><U+0083>"
"17",-1,"Is anyone in government going to talk about Zika or pretend it doesn't exist? https://t.co/FJ75xc41DM"
"18",0,"RT @ProductJT: NatularDT -  stop #mosquito larvae for 60 days! Now available @amazon - #zika #ZikaVirus #dengue #osha #safety - https://t.c…"
"19",2,"Wow! Exciting progress on Zika virus vaccine development from Dr. Dan Barouch at #APSA17 https://t.co/v6GJZpNleI"
"20",1,".@tweetAONE | CDC offers guidance on when health care personnel need Zika test https://t.co/Bb2GsHaY4g"
"21",0,"County health director says agency can fight #Zika
 https://t.co/hvGEMFGpIp

#Florida"
"22",0,"Stopping #Zika https://t.co/wNOY0MUcDQ

#publichealth #LymeDisease"
"23",-1,"@neurociencias Do you think it is a problem with #zika ID tests? Vs #Dengue ?

Or is it on purpose?"
"24",-2,"High level of heart defects found in #Zika -affected #babies
 https://t.co/UnYTzzSiYn

Argh! These stories kill me! #fightZika #publichealth"
"25",-1,"Puerto Rico 'is hiding the true scale of #Zika amid tourism fears' https://t.co/iiltl6Xhko via @MailOnline"
"26",-1,"RT @mercola: Is the #Zika virus as serious an epidemic as the government is leading us to believe? https://t.co/DeE70gbH88"
"27",1,"RT @hfmmagazine: CDC guidance for managing health care occupational exposures to Zika. https://t.co/CHwsqpOIxg"
"28",-1,"Epilepsy: Another Potential Zika Threat to Babies https://t.co/8XGxIJ3vrz"
"29",-1,"Zika 'Replicates and Persists' in Fetal Brain, Placenta Study strengthens tie to microcephaly Zika virus RNA was... https://t.co/N5Fa9aTq1e"
"30",-1,"RT @JAMADerm: Does #Zika virus exanthema differ from other arboviruses? https://t.co/aYbi5GM87Z https://t.co/8tVOYVV9hc"
"31",0,"https://t.co/4VRoF8Fdr0

Great advice from @KYHealthAlerts to #fightTheBite! 

#mosquitoes #zika

Consider Natular… https://t.co/MdaNcdszzs"
"32",0,"RT @hfmmagazine: News for health care facility managers from CDC, ASHE and more. https://t.co/Zh2IHO2GrL"
"33",0,"Find out how to #ZAPzika with tips from @MarchOfDimes https://t.co/sWrSn675gm  via @SheSpeaksUp"
"34",-1,"RT @_Citlallyyyy: Karen found a mouse in her house and her first thought was: ""he could have given me the zika virus!"" <ed><U+00A0><U+00BD><ed><U+00B9><U+0084><ed><U+00A0><U+00BD><ed><U+00B9><U+0084><ed><U+00A0><U+00BD><ed><U+00B9><U+0084>"
"35",-1,"Karen found a mouse in her house and her first thought was: ""he could have given me the zika virus!"" <ed><U+00A0><U+00BD><ed><U+00B9><U+0084><ed><U+00A0><U+00BD><ed><U+00B9><U+0084><ed><U+00A0><U+00BD><ed><U+00B9><U+0084>"
"36",-1,"Have you seen what the Twin Docs have prescribed? Florida Reports 1st Locally Transmitted Zika Infections in U.S. 4 https://t.co/LgYWulzPxg"
"37",-1,"Have you seen what the Twin Docs have prescribed? Zika Now Tied to Miscarriage Dutch case finds woman's infection i https://t.co/1XS5BwM25D"
"38",0,"News for health care facility managers from CDC, ASHE and more. https://t.co/Zh2IHO2GrL"
"39",0,"RT @AWildlifeContrl: Zika Virus Cases Now Confirmed in all 50 States - Breitbart https://t.co/anfIIW6z2K via @BreitbartNews #Zika #mosquito…"
"40",1,"CDC guidance for managing occupational exposures to Zika and other news for health facility managers. https://t.co/9KqtjhBYzh"
"41",0,"Florida releases experimental mosquitoes @CNN https://t.co/0VSzDs0wQs #Zika"
"42",1,"CDC guidance for managing occupational exposures to Zika https://t.co/uF1fpurC4R"
"43",-1,"Zika Virus Cases Now Confirmed in all 50 States - Breitbart https://t.co/anfIIW6z2K via @BreitbartNews #Zika #mosquitoes #advancedwildlife"
"44",1,"CDC guidance for managing occupational exposures to Zika https://t.co/ksJpDffMNT"
"45",1,"CDC guidance for managing occupation exposures to Zika
https://t.co/3M1IfUq7tu
Tags: @CDCgov, #Zika, #InfectionPrevention"
"46",1,"CDC guidance for managing health care occupational exposures to Zika. https://t.co/CHwsqpOIxg"
"47",1,"RT @JAMANeuro: Enhanced Epilepsy Surveillance and Awareness in the Age of Zika https://t.co/Poifq6TWpl"
"48",-1,"RT @ASTMH: CDC experts warn #Zika virus can trigger epilepsy. https://t.co/HUycjLaPev via @CBSNews"
"49",-1,"Lmfao..Lol. FRANKENSTEIN is on the FUCKING MOVE...Lmfao. Lol. https://t.co/lSAyomu5RJ"
"50",0,"#SerenaWilliams also weighing Olympics vs. Zika #SerenaWilliams... #SerenaWilliams https://t.co/VmRyTxKkiv"
"51",0,"Shared via CNN: Florida releases experimental mosquitoes to fight Zika"
"52",0,"Oh Good, It's #Bug Season in #LA (Now With Added #Zika Anxiety!)

https://t.co/pYo6niYwJB
Via @LAist 

#PublicHealth"
"53",-1,"What are the Twin Docs Travel talking about? Rio 2016 and the Zika Virus https://t.co/QfPq1s0oOM"
"54",0,"@JermDeWalt @USATODAY I guess you want pregnant women to suffer from Zika virus &amp; West Nile, the poor will pay disp… https://t.co/yYRK7dS9KG"
"55",0,"@JermDeWalt @USATODAY Far from it these pesticides have been used safely for decades &amp; prevent crop damage &amp; mosqui… https://t.co/0T262BfAPv"
"56",0,"RT @JAMANeuro: Surveillance regarding the possible link between congenital Zika virus infection and epilepsy is needed. https://t.co/hrGQmf…"
"57",-2,"Surveillance regarding the possible link between congenital Zika virus infection and epilepsy is needed. https://t.co/hrGQmf2YcO"
"58",-2,"Surveillance regarding the possible link between congenital Zika virus infection and epilepsy is needed. https://t.co/pvasvHmsl4"
"59",1,"Why Florida saw success against Zika: https://t.co/xRxymU6TLt"
"60",0,"#SerenaWilliams also weighing Olympics vs. Zika #SerenaWilliams https://t.co/H2vCL0HMkn"
"61",1,"Great #zika resource from the state of #texas -

@TexasDSHS

https://t.co/sUxYfiGHEr"
"62",0,"Sperm donated in Florida may contain Zika, CDC says @CNN https://t.co/3BXxAqKrbN"
"63",1,"Got really excited about a cruise and then really freaked out about Zika. I'm going to 100% deet my entire body."
"64",0,"Check out Clarke - Natular DT #Mosquito Control Larvicide Tablet

https://t.co/5h64iq2SCs via @eBay

#FightTheBite… https://t.co/lQqG66vWjX"
"65",0,"What weighs under a pound and is #Smartphone controlled? Researchers develop diagnostic device to detect Zika.… https://t.co/rnHZfX0xfP"
"66",0,"What weighs under a pound and is #Smartphone controlled? Researchers develop diagnostic device to detect Zika.… https://t.co/r1vpVzET4q"
"67",1,"Important development in the fight against Zika!  https://t.co/6VrHke9JwP"
"68",0,"Find out how to #ZAPzika with tips from @MarchOfDimes https://t.co/BrkbdZgmMD  via @SheSpeaksUp"
"69",0,"What weighs under a pound and is #Smartphone controlled? Researchers develop diagnostic device to detect Zika.… https://t.co/dWh2YXjoge"
"70",0,"People forgot all about Zika, but Zika didn't forget about you. https://t.co/ZcZuDsxpH0"
"71",-1,"CDC experts warn #Zika virus can trigger epilepsy. https://t.co/HUycjLaPev via @CBSNews"
"72",0,"I seek the refuge of an underpass in #RogersPark to soak in a #mural of balanced #nature, while I worry about the n… https://t.co/dywyglZBof"
"73",-1,"Ep 86- Zika Mystery Solved: It was a Math Problem [My Incredible Opinion[ @forrestmaready  https://t.co/LMLuZVAvBS"
"74",0,"About 10% of Zika infections in pregnancy lead to microcephaly @DrReddCDC #FOAMed"
"75",0,"‘They’re just hiding’: Experts say Puerto Rico may be underreporting Zika-affected births https://t.co/OMjGxNr1SD via @statnews"
"76",1,"Zika cases in the US.  A significant majority (even in Florida) are related to travel outside of US #FOAMed https://t.co/gS4REEmnQj"
"77",0,"https://t.co/dc27slWMGQ

@UF / @UF_IFAS  scientists find #Zika RNA in a second #mosquito species

#publichealth… https://t.co/T3GNOW2sCn"
"78",-1,"CDC urges doctors to screen for Zika-related epilepsy in infants born to infected moms https://t.co/7NVn4rxGYX"
"79",0,"Keys Starts Trial Of New #Mosquito Fighting Method: Bacteria https://t.co/0MDLZOhAXf

#wolbachia #Zika… https://t.co/GD9hjtFml4"
"80",0,"Infectious diseases A-Z: babies born with Zika-related birth defects – Entertainment &amp; Life… https://t.co/5uKR2BpFXR https://t.co/Y7ImKgg4yA"
"81",-1,"A new study reports that some babies infected with #Zika also may have lifelong vision impairment https://t.co/zz7muS79GN"
