"","tweet","created","number"
"1","negative",2017-04-14,16
"2","negative",2017-04-15,12
"3","negative",2017-04-16,10
"4","negative",2017-04-17,20
"5","negative",2017-04-18,36
"6","negative",2017-04-19,31
"7","negative",2017-04-20,18
"8","negative",2017-04-21,20
"9","negative",2017-04-22,6
"10","negative",2017-04-23,13
"11","neutral",2017-04-14,52
"12","neutral",2017-04-15,16
"13","neutral",2017-04-16,7
"14","neutral",2017-04-17,32
"15","neutral",2017-04-18,72
"16","neutral",2017-04-19,58
"17","neutral",2017-04-20,63
"18","neutral",2017-04-21,57
"19","neutral",2017-04-22,29
"20","neutral",2017-04-23,29
"21","positive",2017-04-14,4
"22","positive",2017-04-15,1
"23","positive",2017-04-16,2
"24","positive",2017-04-18,7
"25","positive",2017-04-19,6
"26","positive",2017-04-20,7
"27","positive",2017-04-21,5
"28","positive",2017-04-22,4
"29","positive",2017-04-23,5
