"","tweet","created","number"
"1","negative",2017-04-14,2
"2","negative",2017-04-15,1
"3","negative",2017-04-17,2
"4","negative",2017-04-18,9
"5","negative",2017-04-19,10
"6","negative",2017-04-20,1
"7","negative",2017-04-21,4
"8","negative",2017-04-22,4
"9","neutral",2017-04-14,4
"10","neutral",2017-04-15,4
"11","neutral",2017-04-16,3
"12","neutral",2017-04-17,11
"13","neutral",2017-04-18,13
"14","neutral",2017-04-19,10
"15","neutral",2017-04-20,17
"16","neutral",2017-04-21,15
"17","neutral",2017-04-22,8
"18","neutral",2017-04-23,16
"19","positive",2017-04-14,1
"20","positive",2017-04-15,2
"21","positive",2017-04-18,2
"22","positive",2017-04-19,2
"23","positive",2017-04-20,3
"24","positive",2017-04-23,2
