"","score","text"
"1",0,"Renewed Zika outbreak feared on Texas border https://t.co/zQbzbcyqPZ"
"2",0,"Renewed Zika outbreak feared on Texas border https://t.co/579xQElH3i https://t.co/QCSb2xUhdp"
"3",0,"Renewed Zika outbreak feared on Texas border #texas #bhivelabs https://t.co/qRvNcUktwE"
"4",1,"RT @bcmhouston: Baylor will serve as a Phase II Zika vaccine trial site led by @NIAIDNews. https://t.co/MANcDsihJj"
"5",0,"RT @TribWire: 'It’s going to hit the poorest people': Zika outbreak feared on the Texas border
 - https://t.co/mlV9oGx5cU"
"6",0,"'It’s going to hit the poorest people': Zika outbreak feared on the Texas border
 - https://t.co/mlV9oGx5cU"
"7",0,"@BillCassidy @PARLouisiana What happens when we underfund #Zika research by $800 million and instead spend $1.4 bil… https://t.co/CzBfDknibV"
"8",0,"Renewed Zika outbreak feared on Texas border #texas #bhive https://t.co/5eIZLVepkP"
"9",0,"Renewed Zika outbreak feared on Texas border #texas #bees https://t.co/WzVwiJZiyJ"
"10",0,"Renewed Zika outbreak feared on Texas border #texas #bhive https://t.co/xFZzmgKxu9"
"11",0,"Renewed Zika outbreak feared on Texas border #texas #bees https://t.co/QRQ59tP9W3"
"12",0,"https://t.co/EpVuXVW2yI@
@BillCassidy @SenateGOP underfunded #Zika response by $800 million. Now about to authorize $1.4 billion for a wall."
"13",0,"Renewed Zika outbreak feared on Texas border #texas #bhive https://t.co/sh5wQbfAHJ"
"14",0,"https://t.co/IKR6icer1p As warmer weather approaches and mosquito seasons take flight, health professionals are warning that a Zika outbre…"
"15",0,"Renewed Zika outbreak feared on Texas border via the @FoxNews App https://t.co/vtl0qF2l2Q"
"16",1,"Baylor will serve as a Phase II Zika vaccine trial site led by @NIAIDNews. https://t.co/MANcDsihJj"
"17",0,"'It’s going to hit the poorest people': Zika outbreak feared on the Texas border | World news | The Guardian https://t.co/jyPguerYlx"
"18",0,"RT @utsystem: Researchers from @utmbhealth, @UTSWNews &amp; @utepnews: Climate change increases the potential for viruses like Zika. https://t.…"
"19",0,"RT @TexasDSHS: Our #Zika Communications Toolkit has English, Spanish newsletter copy, social media copy &amp; graphics for your use! https://t.…"
"20",0,"RT @reporter_laura: Funding critical in responding to infectious diseases like Zika. The US doesn't have emergency fund for academic invest…"
"21",0,"RT @Stella_Basham: Who Owns the ZIKA VIRUS...Busted! Rockefeller Foundation Funds, Owns and Patents the Zika Viru… https://t.co/r3mGQmUQIp…"
"22",-1,"Funding critical in responding to infectious diseases like Zika. The US doesn't have emergency fund for academic investigators etc. #ahcj17"
"23",0,"Who Owns the ZIKA VIRUS...Busted! Rockefeller Foundation Funds, Owns and Patents the Zika Viru… https://t.co/r3mGQmUQIp via @wordpressdotcom"
"24",0,"RT @Stella_Basham: Recent massive fraud Zika Virus, research the U.S.  Patent Office. A Biological virus patent, owned by  Rockefeller Foun…"
"25",-3,"Recent massive fraud Zika Virus, research the U.S.  Patent Office. A Biological virus patent, owned by  Rockefeller Foundation."
"26",0,"RT @reporter_laura: “There remains a tremendous amount that we don’t know about this particular virus.” -Dr. Glenn Morris on Zika. #ahcjzik…"
"27",0,"“There remains a tremendous amount that we don’t know about this particular virus.” -Dr. Glenn Morris on Zika. #ahcjzika #ahcj17"
"28",0,"RT @ITMHCA: ""Among the programs potentially affected by cuts is one that aimed to track Zika-associated birth defects,... https://t.co/tJo2…"
"29",-1,"""Among the programs potentially affected by cuts is one that aimed to track Zika-associated birth defects,... https://t.co/tJo25LCyIu"
"30",-1,"RT @InfowarsReports: Florida Releases Killer Mosquitoes To Fight Zika https://t.co/jWUlKfUdVj"
"31",-1,"Florida Releases Killer Mosquitoes To Fight Zika https://t.co/jWUlKfUdVj"
"32",0,"RT @NBDPN: Florida releases experimental mosquitoes to fight #Zika. Read more: https://t.co/lIz0EfHD4B."
"33",0,"Florida releases thousands of mosquitoes infected with bacteria intended to control Zika-transmitting Aedes aegypt… https://t.co/zcpWRcrVtn"
"34",0,"Pregnant? Read this Zika information before you travel. https://t.co/FGncarWTvn https://t.co/zRhAAfmZSQ"
"35",0,"RT @ReaganSheehy: Zika social media analysis revealed significant confusion around the facts and distrust of official sources @LucindaLAust…"
"36",-1,"RT @Fox26Houston: CDC: Zika infections confirmed in 9 pregnant women in US https://t.co/uKt3ahYDcw"
"37",0,"RT @houstonivf: ICYMI, here's Dr. Nodler talking about Zika with @HaleyKPRC @KPRC2! https://t.co/ds8WVSgTB1"
"38",-1,"Zika social media analysis revealed significant confusion around the facts and distrust of official sources @LucindaLAustin #moodycomm"
"39",0,"Our #Zika Communications Toolkit has English, Spanish newsletter copy, social media copy &amp; graphics for your use! https://t.co/LPet6fxuvj"
"40",0,"Florida releases experimental mosquitoes to fight #Zika. Read more: https://t.co/lIz0EfHD4B."
"41",0,"Florida releases experimental mosquitoes to fight Zika
https://t.co/bbSYLxXLoe"
"42",0,"Florida releases experimental mosquitoes @CNN https://t.co/m2vIc6Wh1H"
"43",-2,"Plot twist it actually has Zika or some other shit to control population growth. May the odds be in your favor https://t.co/YNvUD392Q9"
"44",0,"ICYMI, here's Dr. Nodler talking about Zika with @HaleyKPRC @KPRC2! https://t.co/ds8WVSgTB1"
"45",0,"Florida releases thousands of mosquitoes infected with bacteria intended to control Zika-transmitting Aedes aegypt… https://t.co/8q9fkLLHNk"
"46",0,"Florida releases thousands of mosquitoes infected with bacteria intended to control Zika-transmitting Aedes aegypt… https://t.co/5eAE9EtTHB"
"47",0,"A Clue to the Mystery of #Colombia’s Missing #Zika Cases
(They suspect that microcephaly is the end of the spectrum)
https://t.co/tIVMDChVON"
"48",0,"RT @Forrest4Trees: It's worth reading this @NYTmag story on climate change &amp; Zika despite basic geography errors. Dallas<U+2260>Central Texas http…"
"49",0,"It's worth reading this @NYTmag story on climate change &amp; Zika despite basic geography errors. Dallas<U+2260>Central Texas… https://t.co/3oVUPdZZbx"
"50",0,"Florida releases thousands of mosquitoes infected with bacteria intended to control... https://t.co/2rzF5uSHbt by… https://t.co/d3z4N4wdoX"
"51",0,"Florida releases thousands of mosquitoes infected with bacteria intended to control... https://t.co/zKWbEb7Ha7 by… https://t.co/lwRgDPoi1R"
"52",0,"Florida releases thousands of mosquitoes infected with bacteria intended to control Zika-transmitting Aedes aegypt… https://t.co/gIaPUxPKG4"
"53",0,"@leeladaou @KHayhoe And this time it includes Zika"
