created,favoriteCount,favorited,id,isRetweet,latitude,longitude,replyToSID,replyToSN,replyToUID,retweetCount,retweeted,screenName,statusSource,text,truncated,Region
4/23/2017,0,FALSE,8.56265E+17,FALSE,NA,NA,NA,NA,NA,0,FALSE,Austin_CP,"<a href=""http://toplocalnow.com/us/austin"" rel=""nofollow"">Austin Now</a>",Renewed Zika outbreak feared on Texas border https://t.co/zQbzbcyqPZ,FALSE,Houston
4/23/2017,3,FALSE,8.56261E+17,FALSE,NA,NA,NA,NA,NA,0,FALSE,fox7austin,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",Renewed Zika outbreak feared on Texas border https://t.co/579xQElH3i https://t.co/QCSb2xUhdp,FALSE,Houston
4/23/2017,0,FALSE,8.5626E+17,FALSE,NA,NA,NA,NA,NA,0,FALSE,Houstonblogger4,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>",Renewed Zika outbreak feared on Texas border #texas #bhivelabs https://t.co/qRvNcUktwE,FALSE,Houston
4/23/2017,0,FALSE,8.56259E+17,TRUE,NA,NA,NA,NA,NA,5,FALSE,TimothySNull,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @bcmhouston: Baylor will serve as a Phase II Zika vaccine trial site led by @NIAIDNews. https://t.co/MANcDsihJj,FALSE,Houston
4/23/2017,0,FALSE,8.56256E+17,TRUE,NA,NA,NA,NA,NA,1,FALSE,chaseghost715,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @TribWire: 'It’s going to hit the poorest people': Zika outbreak feared on the Texas border
 - https://t.co/mlV9oGx5cU",FALSE,Houston
4/23/2017,1,FALSE,8.56254E+17,FALSE,NA,NA,NA,NA,NA,1,FALSE,TribWire,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","'It’s going to hit the poorest people': Zika outbreak feared on the Texas border
 - https://t.co/mlV9oGx5cU",FALSE,Houston
4/23/2017,0,FALSE,8.56253E+17,FALSE,NA,NA,8.55548E+17,BillCassidy,55677432,0,FALSE,AlphonseBeliav1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@BillCassidy @PARLouisiana What happens when we underfund #Zika research by $800 million and instead spend $1.4 bil… https://t.co/CzBfDknibV,TRUE,Houston
4/23/2017,0,FALSE,8.56252E+17,FALSE,NA,NA,NA,NA,NA,0,FALSE,DynamoNews24,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>",Renewed Zika outbreak feared on Texas border #texas #bhive https://t.co/5eIZLVepkP,FALSE,Houston
4/23/2017,0,FALSE,8.56252E+17,FALSE,NA,NA,NA,NA,NA,0,FALSE,Tiredof9too525,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>",Renewed Zika outbreak feared on Texas border #texas #bees https://t.co/WzVwiJZiyJ,FALSE,Houston
4/23/2017,1,FALSE,8.56246E+17,FALSE,NA,NA,NA,NA,NA,0,FALSE,Astrosblogger12,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>",Renewed Zika outbreak feared on Texas border #texas #bhive https://t.co/xFZzmgKxu9,FALSE,Houston
4/23/2017,0,FALSE,8.56244E+17,FALSE,NA,NA,NA,NA,NA,0,FALSE,TexanNews6545,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>",Renewed Zika outbreak feared on Texas border #texas #bees https://t.co/QRQ59tP9W3,FALSE,Houston
4/23/2017,0,FALSE,8.56244E+17,FALSE,NA,NA,NA,NA,NA,0,FALSE,AlphonseBeliav1,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","https://t.co/EpVuXVW2yI@
@BillCassidy @SenateGOP underfunded #Zika response by $800 million. Now about to authorize $1.4 billion for a wall.",FALSE,Houston
