"","tweet","created","number"
"1","negative",2017-04-14,4
"2","negative",2017-04-15,3
"3","negative",2017-04-16,1
"4","negative",2017-04-17,13
"5","negative",2017-04-18,10
"6","negative",2017-04-19,8
"7","negative",2017-04-20,8
"8","negative",2017-04-21,8
"9","negative",2017-04-22,3
"10","negative",2017-04-23,1
"11","neutral",2017-04-14,15
"12","neutral",2017-04-15,10
"13","neutral",2017-04-16,2
"14","neutral",2017-04-17,19
"15","neutral",2017-04-18,24
"16","neutral",2017-04-19,15
"17","neutral",2017-04-20,16
"18","neutral",2017-04-21,10
"19","neutral",2017-04-22,8
"20","neutral",2017-04-23,11
"21","positive",2017-04-17,1
"22","positive",2017-04-18,1
"23","positive",2017-04-19,1
"24","positive",2017-04-21,2
"25","positive",2017-04-23,1
