"","score","text"
"1",0,"RT @LeonforMiami: How #climate effects &amp; can increase the risk of #Zika. Important article @NYTScience &amp; thanks @ThatGuyZo for having this…"
"2",0,"How #climate effects &amp; can increase the risk of #Zika. Important article @NYTScience &amp; thanks @ThatGuyZo for having… https://t.co/Zrfyhu9rAR"
"3",1,"RT @NiggaCommentary: BRO SHE DIDNT HAVE TO QUIT LIKE THAT <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> https://t.co/TxpvWqAJZt"
"4",0,"Renewed Zika outbreak feared on Texas border https://t.co/pAmtvyXsvN via the @FoxNews Android app"
"5",-2,"The Zika Fraud Is Just Another Pharma Scare https://t.co/Z6ABinYC2b via @mercola"
"6",0,"RT @umiamimedicine: South Florida has been ground zero for #Zika, our docs in the fight. DM to schedule an interview. #AANAM"
"7",0,"South Florida has been ground zero for #Zika, our docs in the fight. DM to schedule an interview. #AANAM"
"8",0,"Stopping Zika https://t.co/w8WGou1Thp"
"9",0,"Puerto Rico may be underreporting Zika-affected births https://t.co/yovoMMPpw3"
"10",0,"UNC, Duke part of $3.2M project to develop better Zika virus test :: Editor's Blog at WRAL TechWire https://t.co/lOXGaFRv0m"
"11",0,"Windsor-Essex County Health Unit to test for Zika https://t.co/qyzLugyLKA"
"12",0,"Windsor-Essex County Health Unit to test for Zika https://t.co/FFSLhlupeW"
"13",0,"Unt uhhh Zika out and I ain't trying have no nickel head jit."
"14",-2,"Epilepsy: Another Potential Zika Threat to Babies
CDC team says up to half of infants exposed to the virus devel...https://t.co/KqrsiTurRo"
"15",0,"@alisongriswold @rcastrocornejo ZIka is real and facts matter: https://t.co/MQbM8W95RN"
"16",0,"RT @HadenMedia: When it comes to covering #disease outbreaks: explain, explain, explain. — @wlrn's @sammymack #AHCJZika #zika https://t.co/…"
"17",0,"That's how Zika started. I just https://t.co/y6P7oH5PnN"
"18",0,"No reason at all to doubt him. Marquito is too busy working on his zika legislation and avoiding town hall meetings… https://t.co/PTOpUx9Pbb"
"19",0,"When it comes to covering #disease outbreaks: explain, explain, explain. — @wlrn's @sammymack #AHCJZika #zika https://t.co/5JJlOQ5dlw"
"20",0,"@OgleConnie @MiamiHerald @WynwoodLife @Miamicom Zika still wynwooding?"
"21",-1,"@Akquire ""Hey we managed to get rid of the Zika virus with our mosquitos! One thing tho a year from now you'll have a flesh eating disease."""
