"","tweet","created","number"
"1","negative",2017-04-14,6
"2","negative",2017-04-15,2
"3","negative",2017-04-16,2
"4","negative",2017-04-17,5
"5","negative",2017-04-18,5
"6","negative",2017-04-19,1
"7","negative",2017-04-20,2
"8","negative",2017-04-21,4
"9","negative",2017-04-22,1
"10","negative",2017-04-23,1
"11","neutral",2017-04-14,6
"12","neutral",2017-04-15,5
"13","neutral",2017-04-16,1
"14","neutral",2017-04-17,6
"15","neutral",2017-04-18,14
"16","neutral",2017-04-19,6
"17","neutral",2017-04-20,15
"18","neutral",2017-04-21,16
"19","neutral",2017-04-22,6
"20","neutral",2017-04-23,5
"21","positive",2017-04-14,1
"22","positive",2017-04-17,2
"23","positive",2017-04-19,1
"24","positive",2017-04-20,2
"25","positive",2017-04-22,1
