"","score","text"
"1",0,"Renewed Zika outbreak feared on Texas border https://t.co/oawWqUfMiS #fox-news"
"2",0,"Here are the DEETs on DEET. https://t.co/jAoOCyRJ8u"
"3",0,"Zika Virus  4 Things Mainstream Media Isn't Telling You  https://t.co/CAp5kUogc0 

#libertarian #marxism #right"
"4",0,"RT @BernieSanders: Trump Should Avoid a Bad Zika Deal https://t.co/jzhp4093z3"
"5",0,"RT @LifeAtPurdue: Purdue scientists: 1st to map Zika virus &amp; make strides toward vaccine. #PurdueDayofGiving funds innovation. https://t.co…"
"6",0,"@Trxxwild33 @justusabbott Nahhh imma take my B1 vitamin and not get Zika"
"7",0,"Some folks are on #SpringBreak this week. Traveling? Be sure to avoid #zika and #westnile! https://t.co/rd1nTaaoVP"
"8",0,"RT @CINSOIndy: Hurricanes, tornados and Zika, oh my! Changing climate impacts these &amp; more #tastesci 4/26 @BlackAcreBrewer #indysci https:/…"
"9",-1,"RT @chrishendel: High level of heart defects found in Zika-affected babies https://t.co/fMgSxqK9Q4 via @CIDRAP #ZikaVirus #Zika"
"10",-1,"High level of heart defects found in Zika-affected babies https://t.co/fMgSxqK9Q4 via @CIDRAP #ZikaVirus #Zika"
"11",0,"RT @lasallej: Last year, 44 states had reported cases of pregnant women with #Zika. Learn... https://t.co/bYUKFmPqCD by #CoralieSeright via…"
"12",0,"Last year, 44 states had reported cases of pregnant women with #Zika. Learn... https://t.co/bYUKFmPqCD by… https://t.co/WguPl00eCn"
"13",0,"Some folks are on #SpringBreak this week. Are you traveling? You need to be sure to avoid #zika and #westnile! https://t.co/rd1nTaaoVP"
"14",0,"Purdue scientists: 1st to map #Zika virus &amp; make strides toward vaccine. #PurdueDayofGiving funds #innovation.… https://t.co/zY3lmPsRHa"
"15",0,"Purdue scientists: 1st to map Zika &amp; make strides toward vaccine. #PurdueDayofGiving funds innovation.… https://t.co/drFRjkbp6E"
"16",0,".@wrightstate @dprhoffman @NewellLab @wsu_cosm Changing gears, Michele Miller from the ES PhD program investigates… https://t.co/IVwZtn4WFN"
"17",-1,"The Zika fear mongering continues...... https://t.co/j5DkCCGvBT"
"18",0,"Purdue scientists: 1st to map Zika virus &amp; make strides toward vaccine. #PurdueDayofGiving funds innovation.… https://t.co/l0DSUkdnI4"
"19",-1,"RT @WHIORadio: Ohio health officials brace for possible Zika outbreak https://t.co/X4IFcUh3Od https://t.co/YleTdFlqzu"
"20",0,"I contributed 14 days to OpenZika through @WCGrid and earned a Bronze badge. Join me! https://t.co/BFdSqkJtAi"
"21",0,"Hurricanes, tornados and Zika, oh my! Changing climate impacts these &amp; more #tastesci 4/26 @BlackAcreBrewer #indysci https://t.co/LWNsApaTtB"
"22",0,"Last year, 44 states had reported cases of pregnant women with #Zika. Learn to... https://t.co/PnAEuwmmhs by… https://t.co/MjyDz6mH8h"
"23",0,"Florida releases experimental mosquitoes to fight Zika https://t.co/PlHOaJ2mv0"
"24",0,"Florida releases experimental mosquitoes to fight Zika https://t.co/UTG6gQsLzp https://t.co/ec5hQlnMxl"
"25",0,"Zika mosquito is spreading worldwide but WHO wants to stop it https://t.co/FbYpRb9PQp"
"26",0,"RT @PurdueScience: #PurdueScience discovered the structure of the Zika virus! Give on April 26 to be a part of the next big discovery: http…"
"27",0,"Zika's blood-sucking predator@cnnbrk  https://t.co/EvbUDAqum1"
"28",0,"Some folks are on #SpringBreak this week. Are you traveling? Be sure to avoid #zika and #westnile! https://t.co/rd1nTaaoVP"
"29",0,"RT @LifeIssuesUSA: New research on the connection between Zika and birth defects. GET THE STORY  &gt;&gt;&gt; https://t.co/hefkqxuqgt @LifeIssuesUSA…"
"30",-2,"State Public Health Department urges homeowners to mosquito proof yards, reduce Zika virus threat  https://t.co/RAl88Bwf6p"
"31",0,"New research on the connection between Zika and birth defects. GET THE STORY  &gt;&gt;&gt; https://t.co/hefkqxuqgt… https://t.co/L2tnroM6dW"
"32",0,"New research on the connection between Zika and birth defects. GET THE STORY  &gt;&gt;&gt; https://t.co/ZsGgVtO435… https://t.co/9TxRcRKXB8"
"33",0,"#PurdueScience discovered the structure of the Zika virus! Give on April 26 to be a part of the next big discovery:… https://t.co/u92nYbDroB"
"34",-1,"Could Zika be the first big test of any new or proposed laws which prohibit abortions in any way?"
"35",0,"""Confronting a Lingering Question About Zika: How It Enters the Womb"" by PAM BELLUCK via NYT The New York Times https://t.co/lXao50ZRVK"
"36",0,"Fast CRISPR test easily detects Zika and antibiotic resistance https://t.co/oRwXTDzqfv"
"37",0,"What happened to zika?"
"38",-1,"RT @chrishendel: Zika birth defects may be underreported in Puerto Rico
https://t.co/dg3yjmfPI7 via @CIDRAP #ZikaVirus #Zika #microcephaly"
"39",-1,"New research suggests anti-viral role for anti-AXL candidate against Zika virus https://t.co/Y2QfycsS76 via @medical_xpress"
"40",0,"Zika virus protein mapped to speed search for cure https://t.co/3es3mY3dUl via @physorg_com"
"41",-2,"Researchers crack structure of key protein in Zika virus https://t.co/MqNTTWM2Em via @physorg_com"
"42",0,"RT @chrishendel: This is really not good news out of Puerto Rico right now...esp since they have &gt;35,000 cases of Zika since Jan 2015 https…"
"43",0,"This is really not good news out of Puerto Rico right now...esp since they have &gt;35,000 cases of Zika since Jan 201… https://t.co/Pn8313s10d"
"44",-1,"Zika birth defects may be underreported in Puerto Rico
https://t.co/dg3yjmfPI7 via @CIDRAP #ZikaVirus #Zika #microcephaly"
