"","tweet","created","number"
"1","negative",2017-04-14,15
"2","negative",2017-04-15,1
"3","negative",2017-04-16,2
"4","negative",2017-04-17,10
"5","negative",2017-04-18,10
"6","negative",2017-04-19,16
"7","negative",2017-04-20,14
"8","negative",2017-04-21,15
"9","negative",2017-04-22,3
"10","negative",2017-04-23,1
"11","neutral",2017-04-14,29
"12","neutral",2017-04-15,6
"13","neutral",2017-04-16,2
"14","neutral",2017-04-17,21
"15","neutral",2017-04-18,23
"16","neutral",2017-04-19,20
"17","neutral",2017-04-20,20
"18","neutral",2017-04-21,17
"19","neutral",2017-04-22,20
"20","neutral",2017-04-23,5
"21","positive",2017-04-14,1
"22","positive",2017-04-18,1
"23","positive",2017-04-19,2
"24","positive",2017-04-20,1
"25","positive",2017-04-21,3
"26","positive",2017-04-22,4
